filename,gt,crnn_pred,tess_pred
00010,ទី ២៖   ត្រូវ បួស ជា តាប ស ឬ សី ហើយ អនុវត្ត ឬ,ី ក្ ុ ប ា ឬ ីលីល ង៉បូខ,ន ៗ៖ ត្រ បួស ដា:តាបសឬសីហើយ អនុ
00012,+ទទួលការអប់រំគ្រប់ប្រភេទ,:ទទួលការអប់រំគ្រប់ប្រភេទ,+បទ្លលកា24%%ខំគ្របស្រ(តទ
00013,រ៉ែ សំណង់ មាន,វ៉ែ សំណង់ មាន,ន សំណ មន
00014,រដ្ឋបាល ឃុំ - សង្កាត់ មាន ភារកិច្ច,ដ្ដបាល បុំ-សង្កាត់ មាន ភាកិច្ច,រដ្ឋបាល ឃុំ - សង្កាត់ មាន ភារកិច្ច
00015,!!!!!!ហេតុអ្វី,  : ហេតុអ្វី,!!!!!!ហេកុអ្វី
00019,រាប់ ត្រឹមតែ ឆ្នាំ តាម កាល កំណត់ ដែល,ាប់ ត្របែ នាំ ា ា កណក់ ដែល,រាប់ ត្រឹមតែ ឆ្នាំ តាម កាល កំណត់ ដែល
00021,ពេញ   ទំហឹង ដើម្បី បង្កើត សមាគម អាស៊ាន,ញ្ញ លង មីមបី ប ្ិ ស ាសា,ពេញ ទំហឹង ដើម្បី បង្កើត សមាគម អាស៊ាន
00023,សញ្ជាត,សញ្ឆាត,សញ្ជាភ
00025,អាកាស ត្រង់ រង្វង់ មូល,អាកាស ត្រង រង្វង មូល,អាកាស ត្រន៏ រង្ងន៏ ខ្ទុល
00029,ខ្លះ ? លក្ខណៈ សម្បត្តិ របស់ អ្នកដឹកនាំ មាន ដូច ខាងក្រោម៖ មាន ទស្សនៈ វិស័យ ភ្លឺ ថ្លា, ក ្ុកគន្នំ់អ ន្ល្ះ សេស ើ,"52? លក្ខព័កា សម្បត្តិ របស់ អ្នកដឹកនាំ មាន ដូច ខាងក្រោម៖ មាន ទស្សនៈ វិស័យ ,"
00035,នេះ គេ នៅ ប្រើប្រាស់ ដែរ ទេ ? ពាក្យ   “,ន េ នៅ ប្ប្ា់ ដែទ? ពាក្យ,ះគេនៅប្រើប្រាស់ដែរទេ ? ពាក្យ
00036,”   ភ្លេង ជាតិ ”   ( បទ នគរ,   ភលេង ជភិ   (១ ឧគ,ម ភ្លែងជាតិ.( (បទ នគ
00037,ព្រះពុទ្ធអង្គបានពិចារណាថា,ព្រះពុទ្ធអង្គបានពិចារណាចា,ព្រះពុទ្ធអង្គបានពិចារណាថា
00042,ឆកាមាវចរ​សួគ៌,ឆកាមាវចរសួគ៌,ធកាមាវចរសួគ៍
00043,។   ឧទាហរណ៏ៈ   អរិយធម៍ ឥណ្ឌា   អរិយធម៍ ខ្មែរ, អាហើ៍  លើច់ ញ្ បលង់ ម,ឧទាហរណ៏: =អរិយ៉ធម៍ ឥណ្ឌា អរិយធម៌ 8
00048,ខ្លះ អាច ទាក់ទាញ ភ្ញៀវ ទេសរចទៅ កំសាន្ត នៅ,ឲួទអាចទាកញ្យូទេលរទៅសាន្តដែ,ខ្លះ'អាច ទាក់ទាញ ភ្ញៀវ ទេសរចទៅ កំសាន្ត នៅ
00049,ថ្ងៃណាឆ្នាំណា?ក្ុង,ថ្ងៃណាឆ្នាំណា?ក រុង,វជ្ជណាឆ្នាំណា ?ក្បុង
00053,ក្រុង វគ្គ ទី១០   ប្រពន្ធ ស្លាប់,ក្រុង វគ្គ ទី១០   ប្ពន្ធស្លាប់,ក្រុងវគ្គទី១០ ប្រពន្ធ ស្លាប់
00055,ជា ការទូន្មាន ប្រៀប ប្រដៅ របស់ គ្រូអាចារ្យ ណាមួយ ក្នុង លោក,អក នវ ស្សបព ន ន្ុ្រ្ន ភ្ទ,៣ ករទូន្នាន ព្រៀម ប្រដៅរបស់ គ្រូអាបាអ្ង.ណាមួយ ងន
00065,១   ទត ឃើញ មនុស្ស មាន ជំងឺ ១   ទត ឃើញ មនុស្ស,+ អស់ីឬនុ្សខ៖ៈង៉ើរ អប៍ញឬមនខុម,ទតឃើញមនុស្សមានជំងឺ១ ទតឃើញ មនុស
00069,ពុទ្ធ​សាសនប្បវត្តិ,ពុទ្ធសាសនប្បវត្តិ,ពុទ្ធសាស= ប៊ុ រិត្តិ
00070,។ដំបូងមានអារម្មណ៌ភ័យដែរ,។ជំបូងមានអារម្មណ៌ភ័យដែរ,។នំប៉ូនយានរនារម្មណ៏ភ័យវនរ
00078,បួនតំបន់ធំៗ៖តំបន់,បួនតំបន់ធំៗខតំបន់,ួនតំបន់បំៗ#តំបន់
00080,ស្ថាពរ,ស្ដាពរ,ស្ថាពរ
00084,សំនប៉ាហាំងនិងតង់ស្តែន។,សំនបាហាំងនិងតង់ស្ដែន។,យំនប៉ាហ៌ាបនំងតប់ស្ច37
00096,ថ្លា ស្រស់ស្រាយ ប្រតិកម្ម,ថ្ងា ស្រស់ស្រាយ ប្រតិកម្ម,ថ្លា ស្រស់ស្រាយ ប្រតិកម្ម
00097,បាននូវចរិតសកម្មរបស់មនុស្ស,បាននូវចរិតសកម្មបស់មនុស្ស,បានន្ធ?ចរិតសកខ្វរបស៍មនុស
00101,ទៀត ។ តើ សម្តេច ព្រះមហា សុមេធាធិបតី   ជោតញ្ញាណោ   ជួន,អ គំន្េករេោាមអច់ំ ជពអ្ល យ,ទៀត។ តើ សម្តេច ព្រះមហា សុមេធាធិបតី ជោតញ្ញាណោ ជួន្ធ”
00107,ស្វាមី   ៖   ស្វាមី ដូច មិត្តភក្តិ,ញ្មា    ស្ាម ដួច មិតភក្តិ,
00112,ជំនាន់ មួយ ទៅ ជំនាន់ មួយ,ជំនាន មួយ ទៅ ជំនាន់ មួយ,នន់ មួ០) (9 ជំនាន់ លួយ
00113,។   អាស៊ាន   ជា ពាក្យ,។   អាស៊ន   ជា ពាក្យ,។ អាស៊ាន ជាពាក្យ
00114,នៃ គ្រូ ក្នុង ថ្នាក់   មាន កម្រិត ខ្ពស់ ។ ដូចនេះ,ន្ ្ក្ា មាក ច្នុ ្ុង ្លន,នៃ.គ្រូ ក្នុងថ្នាក់ :មាន កម្រិត ខ្ពស់ ។ ជូថនេះ
00119,/ គុណវិប ត្តិៈ នាំឲ្យ មាន សង្គ្រៀម កើតឡើង ដោយសារតែ ហេតុផល ប្រកាន់ សាសនា កើតមាន ការប្រកាន់,- ក្រែជ្លងបូងំង វងដាក់កាព,វិប គ្គៈ នាំឲ្យ មាន សង្គ្រៀម កើតឡើង ដោយសារតែ ហេតុផល ប្រកាន់ សាសនា កើតមាន ការប្រក /
00130,នយោបាយ ប្រចាំ តំបន់ ដោយ,នយោបាយ ប្ចំ តំបន់ ដោយ,#ណាជ៉ាយ ជ្រចាំ អំបន នៅយ
00131,គ្នា ។ សេចក្ដីថ្លែងការណ៍,គ្នា ។ សេចក្តីថ្លែងការណ៍,គ្នា 7 (@ចគ្នឺថ្ញែបកានយ៉
00135,ដ៏ធំមួយនៅក្នុងតំបន់,ដីធំមួយនៅក្នុងតំបន់,នីអំ ក្ហួយនៅ ក្នុដ់តំ២ន
00139,មេ​គ្រួ,មេគ្រូ,(គ្រ
00143,វិក្ខិត្ត​ចិត្ត,វិក្ខិត្តចិត្ត,ទិគ្ខិត្តចិត្ត
00150,ចាំ ទេ ពាក្យបង ធ្លាប់ និយាយ,ចាំ ទេ ពាក្យបង ធ្ាប់ និយាយ,ចាំទេ ពាក្យបង ធ្លាប់ និយាយ?
00158,  ចូលមក ឆាក ទី៦   មនុស្ស ដដែល,  ចូលមក ា ទី   មុ្ស ដែល,ចូលមក ឆាក ទី៦ មនុស្ស ដដែល
00162,របស់ខ្លួនឬកិត្តិសព្ទនៃ,របស់ខ្លួនឬកិត្តិសព្វនៃ,បស នឬកិត្ថិសជនន
00164,ត្រូវ ស្ដាប់ ពិនិត្យ,ត្រូវ ស្តាប់ ពិនិត្យ,ត្រូវ ស្តាប់ ពិនិត្យ
00166,សមត្ថកិច្ចៈជំនុំជំរះគ្រប់,សមត្ថកិច្ចៈជំនំជំ៖ះគ្រប់,សមគ្ថាកិច្ច.-ជ័ន្តុំជរះ(នប់
00170,យកម្ដិលៈអស្សជិមហានាម,យកម្គិលអស្សជិមហានាម,យកម្ពិលៈអស្សជិមហានាម
00179,អោយ ជឿ ថា ការចាប់ផ្ដើម,អោយ ជឿថា ការចាប់ផ្តើម,(យ (ន ថា កានចា%(ផ្ធិ២
00181,ទំនៀមទំលាប់ ខ្មែរ ដ៏ ល្អ បវរ   ព្រមទាំង បាន ធ្វើ,ដ្ម ទល់ម្វ ល មា់ ា៍,ននៀម័ទំលាប់'ខ្មែរដ៏ ល្អ បវរ ព្រមទាំង បាន 8
00182,គេ ឈប់ នៅ កែប ដាក់ ភ្ញៀវ សិន ។   សម្រាប់ ម៉ោង ចេញដំណើរ,នដាៅ វ ខ្លន ។ ចេក នាអឆ្នំប៍,គេ ឈប់ នៅ/ក៊ែប'ជាក់.គ្ញៀវ សិន“។ សម្រាប់ ម៉ោង ចេញដំពេកីរ
00185,សូវមានតម្លៃទេពុទ្ធិផ្សេង,សូវមានតម្លៃទពេទ្ធិផ្សេង,សូ$បានត៤្លៃ(5(ទ្ធិ(ញ្ញល
00187,ផ្លូវ សមុទ្ទ ទន្លេ មេគង្គ   ទន្លេ យ៉ង់ សេ   ទន្លេ,ខួ ្ ន្ស្ ន្ ស ង ទេ,ផ្លូវសមុទ្ធ ទន្លេមេគង្គ ទន្លេយ៉ង់សេ ទន្លេ
00188,ពិធីបុណ្យខួប១០០ថ្ងៃគេ,ពិធីបុណ្យខ្ធួយ១០០ថ្ងៃគេ,ពិធីបុណ្យខួប១០០ថ្ងៃគេ
